AAAA;NOM_USUEL;TMM;TXAB;TXMIN;RR;NBJTX25;RRAB;TMM_ma5;ville
1945;BREST-GUIPAVAS;;28.7;1.0;1009.4;6.0;31.6;;brest
1946;BREST-GUIPAVAS;;26.4;-1.0;1192.6;3.0;54.6;;brest
1947;BREST-GUIPAVAS;;29.8;-2.2;1094.0;15.0;47.1;;brest
1948;BREST-GUIPAVAS;;32.2;-2.4;1130.6;5.0;41.0;;brest
1949;BREST-GUIPAVAS;11.8;35.2;5.0;939.4;23.0;47.8;;brest
1950;BREST-GUIPAVAS;10.8;28.8;1.8;1363.3;2.0;42.7;;brest
1951;BREST-GUIPAVAS;10.6;27.6;4.8;1471.0;3.0;39.3;;brest
1952;BREST-GUIPAVAS;10.6;28.4;2.0;1199.0;7.0;38.4;;brest
1953;BREST-GUIPAVAS;10.7;29.0;0.8;712.1;2.0;29.7;10.9;brest
1954;BREST-GUIPAVAS;10.5;26.3;-0.5;1113.7;1.0;31.4;10.6;brest
1955;BREST-GUIPAVAS;10.8;33.7;0.7;1061.0;14.0;38.5;10.6;brest
1956;BREST-GUIPAVAS;9.9;25.7;-2.6;1099.7;1.0;38.4;10.5;brest
1957;BREST-GUIPAVAS;11.1;30.7;4.1;1122.8;10.0;38.5;10.6;brest
1958;BREST-GUIPAVAS;10.7;24.8;1.3;1268.0;0.0;28.8;10.6;brest
1959;BREST-GUIPAVAS;11.6;31.2;2.7;1380.2;19.0;56.7;10.8;brest
1960;BREST-GUIPAVAS;10.9;27.5;2.5;1593.6;4.0;47.8;10.8;brest
1961;BREST-GUIPAVAS;11.2;32.6;1.7;1209.6;9.0;33.3;11.1;brest
1962;BREST-GUIPAVAS;7.6;26.9;0.1;1174.1;2.0;56.4;10.4;brest
1963;BREST-GUIPAVAS;6.0;27.0;-2.4;1101.0;2.0;37.4;9.5;brest
1964;BREST-GUIPAVAS;5.6;27.1;1.9;860.4;5.0;35.7;8.3;brest
1965;BREST-GUIPAVAS;11.0;26.7;2.1;1281.8;1.0;54.8;8.3;brest
1966;BREST-GUIPAVAS;10.0;24.2;-3.0;1297.2;0.0;36.6;8.0;brest
1967;BREST-GUIPAVAS;9.7;26.0;0.4;1140.2;2.0;42.9;8.5;brest
1968;BREST-GUIPAVAS;10.0;28.3;3.0;1031.8;4.0;25.1;9.3;brest
1969;BREST-GUIPAVAS;5.4;29.1;1.7;1029.7;5.0;37.3;9.2;brest
1970;BREST-GUIPAVAS;10.9;27.5;1.2;983.6;10.0;31.2;9.2;brest
1971;BREST-GUIPAVAS;9.5;30.2;2.1;913.9;13.0;32.4;9.1;brest
1972;BREST-GUIPAVAS;9.6;25.2;1.9;1208.7;2.0;33.2;9.1;brest
1973;BREST-GUIPAVAS;;30.7;2.2;782.0;13.0;30.3;;brest
1974;BREST-GUIPAVAS;11.2;28.3;3.8;1269.1;2.0;40.9;;brest
1975;BREST-GUIPAVAS;17.0;32.7;1.7;886.4;13.0;29.4;;brest
1976;BREST-GUIPAVAS;8.6;33.3;1.9;840.0;23.0;30.5;;brest
1977;BREST-GUIPAVAS;10.8;26.7;3.2;1180.9;4.0;51.5;;brest
1978;BREST-GUIPAVAS;10.4;27.7;0.3;1062.7;2.0;35.4;11.6;brest
1979;BREST-GUIPAVAS;6.7;28.2;0.1;1233.3;4.0;41.0;10.7;brest
1980;BREST-GUIPAVAS;10.5;27.8;-0.6;1137.4;2.0;43.6;9.4;brest
1981;BREST-GUIPAVAS;11.0;27.6;3.8;1222.1;10.0;28.6;9.9;brest
1982;BREST-GUIPAVAS;11.2;29.3;1.9;1462.7;6.0;37.8;10.0;brest
1983;BREST-GUIPAVAS;11.3;32.2;1.0;994.5;14.0;27.1;10.1;brest
1984;BREST-GUIPAVAS;11.0;30.2;3.0;1224.1;15.0;33.2;11.0;brest
1985;BREST-GUIPAVAS;10.6;27.9;-0.3;1096.8;12.0;35.5;11.0;brest
1986;BREST-GUIPAVAS;9.9;30.5;-1.1;1383.3;4.0;31.5;10.8;brest
1987;BREST-GUIPAVAS;10.4;26.8;-5.1;1061.3;6.0;49.7;10.6;brest
1988;BREST-GUIPAVAS;11.3;28.5;4.8;1238.9;3.0;38.6;10.6;brest
1989;BREST-GUIPAVAS;12.2;31.7;4.2;906.5;27.0;38.4;10.9;brest
1990;BREST-GUIPAVAS;12.1;34.8;1.8;1099.8;27.0;37.8;11.2;brest
1991;BREST-GUIPAVAS;10.5;28.8;-2.9;1045.6;9.0;47.8;11.3;brest
1992;BREST-GUIPAVAS;11.0;28.3;1.9;1029.7;9.0;33.4;11.4;brest
1993;BREST-GUIPAVAS;10.8;27.9;2.8;1046.1;5.0;37.6;11.3;brest
1994;BREST-GUIPAVAS;11.7;29.3;0.8;1275.2;6.0;39.4;11.2;brest
1995;BREST-GUIPAVAS;11.9;30.7;2.4;1310.4;25.0;39.2;11.2;brest
1996;BREST-GUIPAVAS;10.8;28.4;-0.1;971.2;16.0;45.8;11.2;brest
1997;BREST-GUIPAVAS;11.6;27.0;-1.9;1052.0;12.0;50.6;11.4;brest
1998;BREST-GUIPAVAS;11.8;30.4;1.4;1367.1;3.0;51.6;11.6;brest
1999;BREST-GUIPAVAS;11.9;28.0;4.9;1528.8;12.0;44.6;11.6;brest
2000;BREST-GUIPAVAS;11.4;29.9;4.5;1532.8;8.0;49.0;11.5;brest
2001;BREST-GUIPAVAS;11.3;29.9;3.2;1302.0;12.0;37.8;11.6;brest
2002;BREST-GUIPAVAS;11.7;28.6;3.5;1346.0;3.0;61.2;11.6;brest
2003;BREST-GUIPAVAS;11.1;35.1;0.0;988.4;29.0;42.4;11.5;brest
2004;BREST-GUIPAVAS;11.4;31.4;2.7;1124.2;7.0;72.0;11.4;brest
2005;BREST-GUIPAVAS;12.2;30.7;2.8;1047.2;10.0;48.2;11.5;brest
2006;BREST-GUIPAVAS;11.8;33.7;3.1;1285.4;17.0;54.2;11.6;brest
2007;BREST-GUIPAVAS;11.7;25.2;3.8;1346.6;2.0;41.4;11.6;brest
2008;BREST-GUIPAVAS;11.2;27.9;3.3;1336.8;2.0;46.2;11.7;brest
2009;BREST-GUIPAVAS;11.3;27.6;1.6;1366.2;6.0;43.2;11.6;brest
2010;BREST-GUIPAVAS;10.5;27.1;1.6;1309.8;6.0;45.8;11.3;brest
2011;BREST-GUIPAVAS;12.0;29.9;2.8;1006.4;12.0;82.6;11.3;brest
2012;BREST-GUIPAVAS;11.3;29.6;2.9;1381.8;11.0;74.3;11.3;brest
2013;BREST-GUIPAVAS;11.2;29.4;3.0;1251.5;13.0;49.4;11.3;brest
2014;BREST-GUIPAVAS;12.2;28.3;7.4;1376.4;17.0;43.7;11.4;brest
2015;BREST-GUIPAVAS;11.9;32.7;3.8;1212.0;7.0;31.8;11.7;brest
2016;BREST-GUIPAVAS;11.6;32.4;6.4;1130.3;11.0;43.0;11.6;brest
2017;BREST-GUIPAVAS;11.7;32.6;3.9;1004.6;14.0;38.4;11.7;brest
2018;BREST-GUIPAVAS;11.8;30.3;-0.1;1165.9;23.0;35.9;11.8;brest
2019;BREST-GUIPAVAS;11.8;34.3;5.3;1387.8;12.0;30.3;11.8;brest
